Serial_No,order_id,customer_id,order_date,Month,Category,total_amount,status,region,payment_method,Revenue_Check(IF),Region_VLookup
1,491,7155,2023-01-01,2023-01,West,"4,581.07",Completed,West,Debit Card,Valid,West
2,761,1153,2023-01-01,2023-01,South,"1,928.96",Completed,South,Debit Card,Valid,South
3,850,2550,2023-01-01,2023-01,South,"1,597.24",Completed,South,Debit Card,Valid,South
4,1142,4189,2023-01-01,2023-01,South,858.98,Completed,South,Debit Card,Valid,South
5,2015,9959,2023-01-01,2023-01,Central,240.54,Completed,Central,Apple Pay,Valid,Central
6,2052,6744,2023-01-01,2023-01,Central,"3,486.72",Completed,Central,Debit Card,Valid,Central
7,3287,954,2023-01-01,2023-01,West,"1,725.27",Completed,West,Credit Card,Valid,West
8,3720,3134,2023-01-01,2023-01,South,413.05,Completed,South,Debit Card,Valid,South
9,4988,6828,2023-01-01,2023-01,North,"1,146.85",Completed,North,PayPal,Valid,North
10,78,9973,2023-01-02,2023-01,East,"2,922.45",Completed,East,PayPal,Valid,East
11,179,4891,2023-01-02,2023-01,Central,485.89,Completed,Central,Apple Pay,Valid,Central
12,376,2889,2023-01-02,2023-01,Central,"3,837.52",Completed,Central,Apple Pay,Valid,Central
13,702,7846,2023-01-02,2023-01,West,"7,461.37",Completed,West,Debit Card,Valid,West
14,1333,1202,2023-01-02,2023-01,West,359.28,Completed,West,Credit Card,Valid,West
15,3939,2247,2023-01-02,2023-01,West,"3,425.86",Completed,West,Apple Pay,Valid,West
16,4146,9437,2023-01-02,2023-01,South,665.18,Completed,South,Credit Card,Valid,South
17,4304,6270,2023-01-02,2023-01,North,880.04,Completed,North,Apple Pay,Valid,North
18,4638,6431,2023-01-02,2023-01,East,"2,122.23",Completed,East,Debit Card,Valid,East
19,221,8021,2023-01-03,2023-01,South,879.89,Completed,South,Debit Card,Valid,South
20,510,7908,2023-01-03,2023-01,West,"2,402.81",Completed,West,Credit Card,Valid,West
21,1777,4461,2023-01-03,2023-01,West,"2,876.22",Completed,West,Credit Card,Valid,West
22,2753,8479,2023-01-03,2023-01,South,"2,331.79",Completed,South,Credit Card,Valid,South
